User name,Ratings,Title,Review
Ashutosh Gupta,5,Great product,Camera Awesome and overall mobile look is Cool
Salman khan,5,Brilliant,Just WOW!! Best in all segment!!
Subham Roy,5,Must buy!,Awesome 😎🍫🥰
Pratik Raj,5,Best in the market!,Superb performance and well.
Flipkart Customer,5,Highly recommended,Excellent product awesome camera super fast
Flipkart Customer,5,Worth every penny,CAMERA IS SUPERB
Rohith Menon,5,Simply awesome,Best ❤️🔥🔥
Rishabh Srivastava,5,Highly recommended,Just Awesome Best phone forever and Good Gaming Experience and Battery life .Specially Camera superb ❤️❤️❤️
Dr Ch Ravi Shanker ,5,Brilliant,Awesome iPhone with best camera quality 48 megapixel is 👌
Flipkart Customer,5,Brilliant,My first iPhone.. And full satisfied..
Debasish Rout,5,Excellent,"Upgraded from XR to 14 pro, amazing phone with advanced features limited to just pro models, stock availability is too low. Got mine by luck!If youre upgrading from iPhone 11 /11 pro  and below you'll love the update"
Susovan Mondal,5,Perfect product!,Awesome. Just loving it.
Upendra Singh,4,Delightful,Mind blowing performance.
Abhishek  Yadav,5,Fabulous!,More than expected! Battery backup has exceptionally increased ⚡️Absolutely over priced but worth it🔥
Abhishek  Rajput,5,Brilliant,"Earlier I had plan to go with S23+ but buying a iphone is a personal preference, i hve gone through lots of reviews and i came to the conclusion that as a IT person I/we look for smother and faster performance so iphone is significantly better than android. I would rate s23+ 10/10 and even iphone 14 pro 10/10 as the only difference i could see is the os."
Gautam Aggarwal,5,Brilliant,Fantastic product even though it's just an iterative upgrade to iphone 13 pro. The deep purple looks purple when the light hits the phone a certain way and it's beautiful. Dynamic island is very practical and useful. Hopefully it will get better when 3rd party developers start making use of it.Flipkart's delivery was quick and hassle free. The order was delivered on the launch date and was packed well.
karan sapra,5,Highly recommended,Only buy if you want to show off nothing else in this phone
Mukesh Choudhry,5,Terrific purchase,10 years of androids user.Last phone was k20 pro Coming android to iPhone its a learning curve in software department.Camera is goodDisplay is awesomeBattery is goodDesign n feel is superb.
Aashish Gupta,5,Wonderful,Fantastic picture quality
siddhartha  soren,4,Value-for-money,It is truly amazing IPhone☺️
